you ты
i я
the то
to к
a а.
it Это
and а также
that что
of из
in в
what какие
is является
me меня
we мы
he он
this это
for для
my мой
on на
your ваш
have имеют
do делать
no нет
don Дон
are находятся
be быть
not нет
was было
can может
know знать
with с участием
all все
but но
here здесь
there там
they Они
so так
get получать
just просто
go идти
like нравиться
up вверх
come прийти
right верно
she она
him ему
out вне
if если
at в
now сейчас
one один
about о
how как
oh ой
want хочу
got получил
her ее
will будут
well хорошо
see видеть
good хорошо
let позволять
yes да
think считать
as в виде
who кто
why Зачем
yeah Ага
did сделал
from из
his его
when когда
going идущий
man человек
take брать
where где
time время
them их
back назад
an ан
us нас
look смотрю
or или же
would было бы
say сказать
were мы
been был
then тогда
had имел
tell рассказать
some некоторый
our наш
okay хорошо
by от
too тоже
gonna собираюсь
down вниз
could мог
hey Привет
didn Dishn
something что-нибудь
never никогда
way способ
very очень
more более
really В самом деле
has имеет
make делать
over над
please пожалуйста
only Только
love любовь
give дайте
little маленький
need нужно
people люди
off выключенный
two два
said сказал
sorry Извините
thank благодарить
am являюсь
sir сэр
should должен
mean иметь в виду
any любой
because так как
much много
sure Конечно
even четный
doing делает
nothing ничего такого
must должен
these эти
thing вещь
help помощь
god Бог
day день
first первый
won победил
life жизнь
anything что-нибудь
again очередной раз
away далеко
stop останавливаться
wait ждать
night ночь
find найти
into в
work Работа
still по-прежнему
put ставить
home дом
call вызов
before перед
better лучше
their их
other Другие
talk говорить
after после
maybe может быть
great большой
than чем
those те
always всегда
thought мысль
long длинный
money Деньги
old Старый
everything все
leave покинуть
keep хранить
new новый
told сказал
things вещи
name название
last последний
father отец
around вокруг
years годы
does делает
hello Привет
ever Когда-либо
place место
big большой
nice красивый
doesn неразрешеный
uh Эм-м-м
isn ИЗН
feel Чувствовать
girl девочка
stay остаться
believe полагать
thanks Благодарность
made сделал
mother мама
listen Слушать
three три
may май
guy парень
hear слышать
understand понимать
shit дерьмо
coming приходящий
world Мир
enough достаточно
left оставил
fine отлично
every каждый
ok ОК
remember помнить
house жилой дом
course курс
done Выполнено
boy мальчик
wrong неправильный
bad Плохо
which который
woman женщина
another Другой
lot много
kind своего рода
wanted в розыске
through через
fuck Блядь
guys ребята
came пришел
ask спросить
kill убийство
son сын
today Cегодня
dead мертвых
show показывать
own собственный
happened получилось
care забота
mind разум
someone кто-то
try пытаться
hi Привет
being существование
same одно и тоже
car машина
yourself сам
might мощь
dad папа
miss скучать
morning утро
else еще
hell ад
many многие
men люди
friend друг
baby малыш
next следующий
talking разговор
move двигаться
fucking чертовски
huh Хм
live жить
looking Ищу
hold держать
real настоящий
getting получающий
without без
saw увидел
went пошли
seen видимый
wouldn не будет
room номер
best Лучший
wanna хочу
together все вместе
found нашел
tomorrow завтра
wife жена
job работа
once однажды
gotta добраться
such такой
wasn Разве
matter иметь значение
head глава
most наиболее
heard слышал
alone один
ready готовы
haven выступ
ain Глаз
happy счастливый
already уже
days дни
brother родной брат
run запустить
play играть
tonight сегодня ночью
door дверь
bring приносить
mom Мама
myself сам
open открыто
yet еще
trying пытающийся
knew знал
whole весь
meet встретиться
excuse извинение
family семья
used использовал
while пока
die то
use использовать
start Начало
took взял
pretty симпатичный
gone прошло
called называется
idea идея
since поскольку
watch смотреть
turn повернуть
hope надеяться
year год
guess угадать
end конец
couldn не могло
sit сидеть
beautiful красивая
hard жесткий
says говорит
hand рука
bit немного
school школа
both оба
worry волноваться
s с
minute минута
true правда
friends друзья
face лицо
soon скоро
lost потерянный
forget забывать
bye до свидания
young молодой
business бизнес
five пять
killed погибший
heart сердце
few немного
problem проблема
wants хочет
later позже
eat есть
everyone все
drink напиток
damn проклятие
ago тому назад
shut закрыть
pay платить
police полиция
everybody все
each каждый
water вода
anyone кто-нибудь
dear дорогой
also также
shall должен
looks внешность
saying говорить
until до того как
crazy сумасшедший
late поздно
phone Телефон
eyes глаза
kid дитя
easy легкий
ah ах
sleep спать
mine мой
afraid боюсь
doctor доктор
death смерть
nobody никто
four четыре
under под
second второй
music Музыка
somebody кто-нибудь
t т
change менять
far далеко
hands Руки
aren арен
kids Дети
knows знать
actually фактически
hit ударить
children дети
case дело
thinking думать
waiting ожидающий
its это
gave дал
read читать
times времена
minutes минут
speak говорить
anyway в любом случае
stand стоять
part часть
wish желание
word слово
having имеющийся
cut резать
stuff вещи
comes поставляется
war война
married в браке
number номер
happen случаться
hurry торопиться
fire Пожар
quite довольно
fight Борьба
rest отдых
close Закрыть
l ливня
check проверять
inside внутри
hurt повредить
half половина
probably наверное
mr Мистер
moment момент
against против
girls девушки
makes вычислять
working за работой
exactly точно
lady леди
women женщины
asked спросил
set набор
boys мальчики
taking взять
husband муж
story сказка
town городок
chance шанс
child ребенок
ass жопа
yours ваша
important важный
whatever что бы ни
different разные
trouble беда
lord господин
point точка
deal иметь дело
sister сестра
goes идет
o О
party вечеринка
week неделя
walk ходить
daughter дочь
means средства
honey медовый
dog собака
shot выстрелил
high высокая
bed кровать
gun пистолет
game игра
person человек
body тело
break перерыв
free бесплатно
captain капитан
making изготовление
side боковая сторона
anymore больше
country страна
fun веселье
almost почти
buy купить
least наименее
truth правда
six шесть
along вдоль
met встретились
city город
behind за
send Отправить
though хоть
hours часы
between между
blood кровь
light свет
supposed предполагаемый
stupid глупый
brought принес
died умерла
gets получает
funny забавный
ahead предстоящий
answer отвечать
full полный
welcome Добро пожаловать
started начал
black чернить
question вопрос
line линия
front фронт
bitch сука
hate ненавидеть
um а.
shoot стрелять
white белый
poor бедные
hot горячий
order заказывать
anybody никто
jesus Иисус
ha хаума
sometimes иногда
reason причина
king король
tried пытался
seems кажется
either либо
outside за пределами
m м`
couple пара
ma Какие
trust доверять
months месяцы
alive живой
hour час
pick выбирать
able способный
sick больной
perhaps возможно
save спасти
clear Чисто
office офис
gentlemen джентльмены
john Джон
become стали
book книга
living жизнь
playing воспроизведение
food еда
daddy папочка
telling рассказывать
cool здорово
dance танцевать
red красный
news Новости
leaving уход
lose терять
cold холодный
promise обещать
evening вечер
touch трогать
power мощность
scared испуганный
boss босс
fact факт
dinner обед
jack разъем
master владелец
uncle дядя
himself сам
small небольшой
shouldn не должен
darling милый
quiet тихий
write написать
hmm Хм
taken взятый
ten десять
luck удача
sent послал
feeling чувство
cannot не могу
air воздуха
earth земля
glad рад
lf левый
law закон
till к
serious серьезный
wonderful замечательный
needs потребности
dream мечтать
street улица
drive привод
hair волосы
sort Сортировать
others другие
running Бег
bet держать пари
lives жизни
company Компания
follow следить
whoa варья
special специальный
fast быстрый
sweet сладкий
sound звук
catch ловить
words слова
careful осторожный
human человек
d подразделение
goodbye до свидания
safe безопасный
perfect идеально
hang вешать
beat бить
million миллион
rather скорее
happens случается
top вершина
parents родители
alright хорошо
plan строить планы
seem казаться
ya Я.
general Генеральная
known известен
coffee кофе
ladies дамы
wow Ух ты
lucky везучий
win выиграть
possible возможный
past мимо
calm спокойствие
pull тянуть
lie ложь
y Уход
sign знак
control контроль
return возвращаться
straight прямой
fall Осень
team команда
longer дольше
laughing смеющийся
kiss целовать
asking спрашивать
tired устала
feet ноги
learn учить
drop уронить
e свидетельствовать
mad без ума
suppose предполагать
